Pharokka_7_EC78_CDS_0054,lysis
Pharokka_7_EC78_CDS_0055,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0056,unknown function
Pharokka_7_EC78_CDS_0057,unknown function
Pharokka_7_EC78_CDS_0058,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0059,unknown function
Pharokka_7_EC78_CDS_0060,unknown function
Pharokka_7_EC78_CDS_0061,unknown function
Pharokka_7_EC78_CDS_0062,unknown function
Pharokka_7_EC78_CDS_0063,unknown function
Pharokka_7_EC78_CDS_0064,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0065,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0066,unknown function
Pharokka_7_EC78_CDS_0067,unknown function
Pharokka_7_EC78_CDS_0068,unknown function
Pharokka_7_EC78_CDS_0069,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0070,unknown function
Pharokka_7_EC78_CDS_0071,other
Pharokka_7_EC78_CDS_0072,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0073,other
Pharokka_7_EC78_CDS_0074,other
Pharokka_7_EC78_CDS_0075,unknown function
Pharokka_7_EC78_CDS_0076,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0077,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0078,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0079,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0080,unknown function
Pharokka_7_EC78_CDS_0081,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0082,unknown function
Pharokka_7_EC78_CDS_0083,unknown function
Pharokka_7_EC78_CDS_0084,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0085,unknown function
Pharokka_7_EC78_CDS_0086,unknown function
Pharokka_7_EC78_CDS_0087,unknown function
Pharokka_7_EC78_CDS_0088,unknown function
Pharokka_7_EC78_CDS_0089,unknown function
Pharokka_7_EC78_CDS_0090,unknown function
Pharokka_7_EC78_CDS_0091,unknown function
Pharokka_7_EC78_CDS_0092,unknown function
Pharokka_7_EC78_CDS_0093,unknown function
Pharokka_7_EC78_CDS_0094,unknown function
Pharokka_7_EC78_CDS_0095,unknown function
Pharokka_7_EC78_CDS_0096,unknown function
Pharokka_7_EC78_CDS_0097,unknown function
Pharokka_7_EC78_CDS_0098,unknown function
Pharokka_7_EC78_CDS_0099,unknown function
Pharokka_7_EC78_CDS_0100,unknown function
Pharokka_7_EC78_CDS_0101,unknown function
Pharokka_7_EC78_CDS_0102,unknown function
Pharokka_7_EC78_CDS_0103,unknown function
Pharokka_7_EC78_CDS_0104,unknown function
Pharokka_7_EC78_CDS_0105,unknown function
Pharokka_7_EC78_CDS_0106,unknown function
Pharokka_7_EC78_CDS_0107,unknown function
Pharokka_7_EC78_CDS_0108,unknown function
Pharokka_7_EC78_CDS_0109,other
Pharokka_7_EC78_CDS_0110,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0111,unknown function
Pharokka_7_EC78_CDS_0112,unknown function
Pharokka_7_EC78_CDS_0113,other
Pharokka_7_EC78_CDS_0114,unknown function
Pharokka_7_EC78_CDS_0115,unknown function
Pharokka_7_EC78_CDS_0116,unknown function
Pharokka_7_EC78_CDS_0117,unknown function
Pharokka_7_EC78_CDS_0118,unknown function
Pharokka_7_EC78_CDS_0119,unknown function
Pharokka_7_EC78_CDS_0120,unknown function
Pharokka_7_EC78_CDS_0121,unknown function
Pharokka_7_EC78_CDS_0122,unknown function
Pharokka_7_EC78_CDS_0123,unknown function
Pharokka_7_EC78_CDS_0124,unknown function
Pharokka_7_EC78_CDS_0125,unknown function
Pharokka_7_EC78_CDS_0126,unknown function
Pharokka_7_EC78_CDS_0127,unknown function
Pharokka_7_EC78_CDS_0128,unknown function
Pharokka_7_EC78_CDS_0129,unknown function
Pharokka_7_EC78_CDS_0130,unknown function
Pharokka_7_EC78_CDS_0131,unknown function
Pharokka_7_EC78_CDS_0132,other
Pharokka_7_EC78_CDS_0133,unknown function
Pharokka_7_EC78_CDS_0134,unknown function
Pharokka_7_EC78_CDS_0135,unknown function
Pharokka_7_EC78_CDS_0136,unknown function
Pharokka_7_EC78_CDS_0137,unknown function
Pharokka_7_EC78_CDS_0138,unknown function
Pharokka_7_EC78_CDS_0139,unknown function
Pharokka_7_EC78_CDS_0140,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0141,unknown function
Pharokka_7_EC78_CDS_0142,unknown function
Pharokka_7_EC78_CDS_0143,unknown function
Pharokka_7_EC78_CDS_0144,unknown function
Pharokka_7_EC78_CDS_0145,unknown function
Pharokka_7_EC78_CDS_0146,unknown function
Pharokka_7_EC78_CDS_0147,unknown function
Pharokka_7_EC78_CDS_0148,unknown function
Pharokka_7_EC78_CDS_0149,unknown function
Pharokka_7_EC78_CDS_0150,unknown function
Pharokka_7_EC78_CDS_0151,unknown function
Pharokka_7_EC78_CDS_0152,unknown function
Pharokka_7_EC78_CDS_0153,unknown function
Pharokka_7_EC78_CDS_0154,unknown function
Pharokka_7_EC78_CDS_0155,unknown function
Pharokka_7_EC78_CDS_0156,unknown function
Pharokka_7_EC78_CDS_0157,unknown function
Pharokka_7_EC78_CDS_0158,unknown function
Pharokka_7_EC78_CDS_0159,unknown function
Pharokka_7_EC78_CDS_0160,unknown function
Pharokka_7_EC78_CDS_0161,unknown function
Pharokka_7_EC78_CDS_0162,unknown function
Pharokka_7_EC78_CDS_0163,unknown function
Pharokka_7_EC78_CDS_0164,unknown function
Pharokka_7_EC78_CDS_0165,unknown function
Pharokka_7_EC78_CDS_0166,unknown function
Pharokka_7_EC78_CDS_0167,unknown function
Pharokka_7_EC78_CDS_0168,unknown function
Pharokka_7_EC78_CDS_0169,unknown function
Pharokka_7_EC78_CDS_0170,unknown function
Pharokka_7_EC78_CDS_0171,unknown function
Pharokka_7_EC78_CDS_0172,unknown function
Pharokka_7_EC78_CDS_0173,unknown function
Pharokka_7_EC78_CDS_0174,unknown function
Pharokka_7_EC78_CDS_0175,unknown function
Pharokka_7_EC78_CDS_0176,unknown function
Pharokka_7_EC78_CDS_0177,unknown function
Pharokka_7_EC78_CDS_0178,unknown function
Pharokka_7_EC78_CDS_0179,unknown function
Pharokka_7_EC78_CDS_0180,unknown function
Pharokka_7_EC78_CDS_0181,unknown function
Pharokka_7_EC78_CDS_0182,unknown function
Pharokka_7_EC78_CDS_0183,unknown function
Pharokka_7_EC78_CDS_0184,unknown function
Pharokka_7_EC78_CDS_0185,unknown function
Pharokka_7_EC78_CDS_0186,unknown function
Pharokka_7_EC78_CDS_0187,unknown function
Pharokka_7_EC78_CDS_0188,unknown function
Pharokka_7_EC78_CDS_0189,unknown function
Pharokka_7_EC78_CDS_0190,unknown function
Pharokka_7_EC78_CDS_0191,unknown function
Pharokka_7_EC78_CDS_0192,unknown function
Pharokka_7_EC78_CDS_0193,unknown function
Pharokka_7_EC78_CDS_0194,unknown function
Pharokka_7_EC78_CDS_0195,unknown function
Pharokka_7_EC78_CDS_0196,unknown function
Pharokka_7_EC78_CDS_0197,unknown function
Pharokka_7_EC78_CDS_0198,unknown function
Pharokka_7_EC78_CDS_0199,unknown function
Pharokka_7_EC78_CDS_0200,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0201,unknown function
Pharokka_7_EC78_CDS_0202,unknown function
Pharokka_7_EC78_CDS_0203,unknown function
Pharokka_7_EC78_CDS_0204,unknown function
Pharokka_7_EC78_CDS_0205,unknown function
Pharokka_7_EC78_CDS_0206,unknown function
Pharokka_7_EC78_CDS_0207,unknown function
Pharokka_7_EC78_CDS_0208,unknown function
Pharokka_7_EC78_CDS_0209,unknown function
Pharokka_7_EC78_CDS_0210,unknown function
Pharokka_7_EC78_CDS_0211,unknown function
Pharokka_7_EC78_CDS_0212,unknown function
Pharokka_7_EC78_CDS_0213,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0214,unknown function
Pharokka_7_EC78_CDS_0215,unknown function
Pharokka_7_EC78_CDS_0216,unknown function
Pharokka_7_EC78_CDS_0217,unknown function
Pharokka_7_EC78_CDS_0218,unknown function
Pharokka_7_EC78_CDS_0219,unknown function
Pharokka_7_EC78_CDS_0220,unknown function
Pharokka_7_EC78_CDS_0221,unknown function
Pharokka_7_EC78_CDS_0222,unknown function
Pharokka_7_EC78_CDS_0223,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0224,unknown function
Pharokka_7_EC78_CDS_0225,unknown function
Pharokka_7_EC78_CDS_0226,other
Pharokka_7_EC78_CDS_0227,unknown function
Pharokka_7_EC78_CDS_0228,unknown function
Pharokka_7_EC78_CDS_0229,unknown function
Pharokka_7_EC78_CDS_0230,unknown function
Pharokka_7_EC78_CDS_0231,unknown function
Pharokka_7_EC78_CDS_0232,unknown function
Pharokka_7_EC78_CDS_0233,unknown function
Pharokka_7_EC78_CDS_0234,unknown function
Pharokka_7_EC78_CDS_0235,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0236,unknown function
Pharokka_7_EC78_CDS_0237,other
Pharokka_7_EC78_CDS_0238,unknown function
Pharokka_7_EC78_CDS_0239,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0240,unknown function
Pharokka_7_EC78_CDS_0241,unknown function
Pharokka_7_EC78_CDS_0242,unknown function
Pharokka_7_EC78_CDS_0243,other
Pharokka_7_EC78_CDS_0244,unknown function
Pharokka_7_EC78_CDS_0245,other
Pharokka_7_EC78_CDS_0246,unknown function
Pharokka_7_EC78_CDS_0247,other
Pharokka_7_EC78_CDS_0248,lysis
Pharokka_7_EC78_CDS_0249,unknown function
Pharokka_7_EC78_CDS_0250,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0251,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0252,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0253,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0254,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0255,unknown function
Pharokka_7_EC78_CDS_0256,unknown function
Pharokka_7_EC78_CDS_0257,unknown function
Pharokka_7_EC78_CDS_0258,unknown function
Pharokka_7_EC78_CDS_0259,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0260,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0261,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0262,unknown function
Pharokka_7_EC78_CDS_0263,unknown function
Pharokka_7_EC78_CDS_0264,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0265,unknown function
Pharokka_7_EC78_CDS_0266,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0267,unknown function
Pharokka_7_EC78_CDS_0268,other
Pharokka_7_EC78_CDS_0269,unknown function
Pharokka_7_EC78_CDS_0270,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0271,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0272,unknown function
Pharokka_7_EC78_CDS_0273,unknown function
Pharokka_7_EC78_CDS_0274,unknown function
Pharokka_7_EC78_CDS_0275,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0276,other
Pharokka_7_EC78_CDS_0277,unknown function
Pharokka_7_EC78_CDS_0278,unknown function
Pharokka_7_EC78_CDS_0279,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0280,unknown function
Pharokka_7_EC78_CDS_0281,unknown function
Pharokka_7_EC78_CDS_0282,other
Pharokka_7_EC78_CDS_0283,other
Pharokka_7_EC78_CDS_0284,tail
Pharokka_7_EC78_CDS_0285,other
Pharokka_7_EC78_CDS_0286,unknown function
Pharokka_7_EC78_CDS_0287,unknown function
Pharokka_7_EC78_CDS_0288,other
Pharokka_7_EC78_CDS_0289,unknown function
Pharokka_7_EC78_CDS_0290,unknown function
Pharokka_7_EC78_CDS_0291,unknown function
Pharokka_7_EC78_CDS_0292,unknown function
Pharokka_7_EC78_CDS_0293,unknown function
Pharokka_7_EC78_CDS_0294,unknown function
Pharokka_7_EC78_CDS_0295,unknown function
Pharokka_7_EC78_CDS_0296,unknown function
Pharokka_7_EC78_CDS_0297,unknown function
Pharokka_7_EC78_CDS_0298,unknown function
Pharokka_7_EC78_CDS_0299,unknown function
Pharokka_7_EC78_CDS_0300,unknown function
Pharokka_7_EC78_CDS_0301,unknown function
Pharokka_7_EC78_CDS_0302,unknown function
Pharokka_7_EC78_CDS_0303,other
Pharokka_7_EC78_CDS_0304,unknown function
Pharokka_7_EC78_CDS_0305,unknown function
Pharokka_7_EC78_CDS_0306,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0307,unknown function
Pharokka_7_EC78_CDS_0308,unknown function
Pharokka_7_EC78_CDS_0309,unknown function
Pharokka_7_EC78_CDS_0310,unknown function
Pharokka_7_EC78_CDS_0311,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0312,lysis
